2025-12-26 19:25:13.079387 | ETHUSDT | 15m
2025-12-26 19:25:13.492931 | ETHUSDT | 30m
2025-12-26 19:25:13.897477 | ETHUSDT | 1h
2025-12-26 19:25:14.283375 | SOLUSDT | 5m
2025-12-26 19:25:14.679926 | SOLUSDT | 15m
2025-12-26 19:25:15.084877 | SOLUSDT | 30m
2025-12-26 19:25:15.499982 | SOLUSDT | 1h
2025-12-26 19:25:15.898241 | BNBUSDT | 5m
2025-12-26 19:25:16.309088 | BNBUSDT | 15m
2025-12-26 19:25:16.719684 | BNBUSDT | 30m
2025-12-26 19:25:17.142292 | BNBUSDT | 1h
2025-12-26 19:25:17.538012 | XRPUSDT | 5m
2025-12-26 19:25:17.954139 | XRPUSDT | 15m
2025-12-26 19:25:18.362331 | XRPUSDT | 30m
2025-12-26 19:25:18.760785 | XRPUSDT | 1h
2025-12-26 19:25:19.142902 | ADAUSDT | 5m
2025-12-26 19:25:19.548800 | ADAUSDT | 15m
2025-12-26 19:25:19.926827 | ADAUSDT | 30m
2025-12-26 19:25:20.326506 | ADAUSDT | 1h
2025-12-26 19:25:20.722887 | AVAXUSDT | 5m
2025-12-26 19:25:21.116689 | AVAXUSDT | 15m
2025-12-26 19:25:21.516090 | AVAXUSDT | 30m
2025-12-26 19:25:21.926171 | AVAXUSDT | 1h
2025-12-26 19:25:22.317155 | LINKUSDT | 5m
2025-12-26 19:25:23.010236 | LINKUSDT | 15m
2025-12-26 19:25:23.390059 | LINKUSDT | 30m
2025-12-26 19:25:23.785753 | LINKUSDT | 1h
2025-12-26 19:25:24.170444 | OPUSDT | 5m
2025-12-26 19:25:24.570032 | OPUSDT | 15m
2025-12-26 19:25:24.966516 | OPUSDT | 30m
2025-12-26 19:25:25.348904 | OPUSDT | 1h
2025-12-26 19:25:25.755688 | ARBUSDT | 5m
2025-12-26 19:25:26.156582 | ARBUSDT | 15m
2025-12-26 19:25:26.542167 | ARBUSDT | 30m
2025-12-26 19:25:26.942842 | ARBUSDT | 1h
2025-12-26 19:29:29.523327 | BTCUSDT | 5m
2025-12-26 19:29:29.940909 | BTCUSDT | 15m
2025-12-26 19:29:30.355716 | BTCUSDT | 30m
2025-12-26 19:29:30.757700 | BTCUSDT | 1h
2025-12-26 19:29:31.174860 | ETHUSDT | 5m
2025-12-26 19:29:31.588044 | ETHUSDT | 15m
2025-12-26 19:29:31.999554 | ETHUSDT | 30m
2025-12-26 19:29:32.418667 | ETHUSDT | 1h
2025-12-26 19:29:32.822142 | SOLUSDT | 5m
2025-12-26 19:29:33.228076 | SOLUSDT | 15m
2025-12-26 19:29:33.642857 | SOLUSDT | 30m
2025-12-26 19:29:34.049963 | SOLUSDT | 1h
2025-12-26 19:29:34.474324 | BNBUSDT | 5m
2025-12-26 19:29:34.890452 | BNBUSDT | 15m
2025-12-26 19:29:35.306402 | BNBUSDT | 30m
2025-12-26 19:29:35.711826 | BNBUSDT | 1h
2025-12-26 19:29:36.130855 | XRPUSDT | 5m
2025-12-26 19:29:36.539254 | XRPUSDT | 15m
2025-12-26 19:29:36.954558 | XRPUSDT | 30m
2025-12-26 19:29:37.361598 | XRPUSDT | 1h
2025-12-26 19:29:37.759756 | ADAUSDT | 5m
2025-12-26 19:29:38.188843 | ADAUSDT | 15m
2025-12-26 19:29:38.611691 | ADAUSDT | 30m
2025-12-26 19:29:39.025031 | ADAUSDT | 1h
2025-12-26 19:29:39.442383 | AVAXUSDT | 5m
2025-12-26 19:29:39.854440 | AVAXUSDT | 15m
2025-12-26 19:29:40.270410 | AVAXUSDT | 30m
2025-12-26 19:29:40.692622 | AVAXUSDT | 1h
2025-12-26 19:29:41.109405 | LINKUSDT | 5m
2025-12-26 19:29:41.518394 | LINKUSDT | 15m
2025-12-26 19:29:41.915634 | LINKUSDT | 30m
2025-12-26 19:29:42.344734 | LINKUSDT | 1h
2025-12-26 19:29:42.757630 | OPUSDT | 5m
2025-12-26 19:29:43.167899 | OPUSDT | 15m
2025-12-26 19:29:43.583792 | OPUSDT | 30m
2025-12-26 19:29:43.998871 | OPUSDT | 1h
2025-12-26 19:29:44.425062 | ARBUSDT | 5m
2025-12-26 19:29:44.828707 | ARBUSDT | 15m
2025-12-26 19:29:45.239195 | ARBUSDT | 30m
2025-12-26 19:29:45.655904 | ARBUSDT | 1h
2025-12-26 19:30:28.146743 | BTCUSDT | 5m
2025-12-26 19:30:28.550540 | BTCUSDT | 15m
2025-12-26 19:30:28.968403 | BTCUSDT | 30m
2025-12-26 19:30:29.388145 | BTCUSDT | 1h
2025-12-26 19:30:29.893003 | ETHUSDT | 5m
2025-12-26 19:30:30.310517 | ETHUSDT | 15m
2025-12-26 19:30:30.711752 | ETHUSDT | 30m
2025-12-26 19:30:31.131217 | ETHUSDT | 1h
2025-12-26 19:30:31.540357 | SOLUSDT | 5m
2025-12-26 19:30:31.953694 | SOLUSDT | 15m
2025-12-26 19:30:32.373609 | SOLUSDT | 30m
2025-12-26 19:30:32.801072 | SOLUSDT | 1h
2025-12-26 19:30:33.207780 | BNBUSDT | 5m
2025-12-26 19:30:33.609157 | BNBUSDT | 15m
2025-12-26 19:30:34.022986 | BNBUSDT | 30m
2025-12-26 19:30:34.437220 | BNBUSDT | 1h
2025-12-26 19:30:34.845243 | XRPUSDT | 5m
2025-12-26 19:30:35.247416 | XRPUSDT | 15m
2025-12-26 19:30:35.648646 | XRPUSDT | 30m
2025-12-26 19:30:36.048482 | XRPUSDT | 1h
2025-12-26 19:30:36.462561 | ADAUSDT | 5m
2025-12-26 19:30:36.868102 | ADAUSDT | 15m
2025-12-26 19:30:37.285266 | ADAUSDT | 30m
2025-12-26 19:30:37.698241 | ADAUSDT | 1h
2025-12-26 19:30:38.114288 | AVAXUSDT | 5m
2025-12-26 19:30:38.524697 | AVAXUSDT | 15m
2025-12-26 19:30:38.932484 | AVAXUSDT | 30m
2025-12-26 19:30:39.345179 | AVAXUSDT | 1h
2025-12-26 19:30:39.766823 | LINKUSDT | 5m
2025-12-26 19:30:40.183930 | LINKUSDT | 15m
2025-12-26 19:30:40.586409 | LINKUSDT | 30m
2025-12-26 19:30:41.003514 | LINKUSDT | 1h
2025-12-26 19:30:41.490017 | OPUSDT | 5m
2025-12-26 19:30:41.915667 | OPUSDT | 15m
2025-12-26 19:30:42.326788 | OPUSDT | 30m
2025-12-26 19:30:42.730189 | OPUSDT | 1h
2025-12-26 19:30:43.130787 | ARBUSDT | 5m
2025-12-26 19:30:43.530181 | ARBUSDT | 15m
2025-12-26 19:30:43.931981 | ARBUSDT | 30m
2025-12-26 19:30:44.333383 | ARBUSDT | 1h
2025-12-26 19:34:46.769579 | BTCUSDT | 5m
2025-12-26 19:34:47.179232 | BTCUSDT | 15m
